id,format,rating,uploadtime
gen7nu-814383354,[Gen 7] NU,1093.0,1538502718
gen7nu-814383724,[Gen 7] NU,1075.0,1538502416
gen7nu-814386632,[Gen 7] NU,1216.0,1538502892
gen7nu-814412889,[Gen 7] NU,1256.0,1538506468
gen7nu-814442505,[Gen 7] NU,1335.0,1538510537
gen7nu-814485877,[Gen 7] NU,1298.0,1538515601
gen7nu-814493005,[Gen 7] NU,1330.0,1538516480
gen7nu-814495421,[Gen 7] NU,1302.0,1538516752
gen7nu-814499098,[Gen 7] NU,1013.0,1538517750
gen7nu-814517813,[Gen 7] NU,1098.0,1538520281
gen7nu-814524585,[Gen 7] NU,1122.0,1538521455
gen7nu-814534623,[Gen 7] NU,1083.0,1538523061
gen7nu-814538552,[Gen 7] NU,1337.0,1538523361
gen7nu-814539160,[Gen 7] NU,1054.0,1538523451
gen7nu-814574633,[Gen 7] NU,1303.0,1538529047
gen7nu-819474109,[Gen 7] NU,1171.0,1539390407
gen7nu-819493735,[Gen 7] NU,1077.0,1539394077
gen7nu-819498630,[Gen 7] NU,1061.0,1539394716
gen7nu-819512419,[Gen 7] NU,1080.0,1539397218
gen7nu-819519949,[Gen 7] NU,1025.0,1539398124
gen7nu-819520321,[Gen 7] NU,1278.0,1539398452
gen7nu-819529613,[Gen 7] NU,1016.0,1539400139
gen7nu-819531465,[Gen 7] NU,1131.0,1539400594
gen7nu-819551281,[Gen 7] NU,1347.0,1539404857
gen7nu-819553907,[Gen 7] NU,1275.0,1539405276
gen7nu-819560071,[Gen 7] NU,1048.0,1539406741
gen7nu-819567022,[Gen 7] NU,1024.0,1539408273
gen7nu-819567669,[Gen 7] NU,1281.0,1539408516
gen7nu-819569019,[Gen 7] NU,1207.0,1539408874
gen7nu-819570429,[Gen 7] NU,1397.0,1539409449
gen7nu-819570699,[Gen 7] NU,1111.0,1539409417
gen7nu-819572549,[Gen 7] NU,1307.0,1539410000
gen7nu-819574181,[Gen 7] NU,1399.0,1539410249
gen7nu-819579203,[Gen 7] NU,1412.0,1539412109
gen7nu-819617164,[Gen 7] NU,1050.0,1539423558
gen7nu-819624418,[Gen 7] NU,1067.0,1539425607
gen7nu-819633498,[Gen 7] NU,1186.0,1539428061
gen7nu-819635616,[Gen 7] NU,1201.0,1539428676
gen7nu-819638240,[Gen 7] NU,1358.0,1539429597
gen7nu-819646075,[Gen 7] NU,1177.0,1539431329
gen7nu-819650694,[Gen 7] NU,1158.0,1539432307
gen7nu-819652153,[Gen 7] NU,1322.0,1539432857
gen7nu-819653083,[Gen 7] NU,1037.0,1539432838
gen7nu-819657242,[Gen 7] NU,1079.0,1539434093
gen7nu-819668606,[Gen 7] NU,1023.0,1539436321
gen7nu-819671287,[Gen 7] NU,1058.0,1539436480
gen7nu-820499714,[Gen 7] NU,1386.0,1539577200
gen7nu-820501297,[Gen 7] NU,1302.0,1539577419
gen7nu-820502328,[Gen 7] NU,1384.0,1539577728
gen7nu-820505704,[Gen 7] NU,1280.0,1539578665
gen7nu-820509570,[Gen 7] NU,1366.0,1539579482
gen7nu-820510505,[Gen 7] NU,1083.0,1539579509
gen7nu-820510782,[Gen 7] NU,1065.0,1539579720
gen7nu-820511922,[Gen 7] NU,1152.0,1539580113
gen7nu-820513272,[Gen 7] NU,1317.0,1539580382
gen7nu-820513411,[Gen 7] NU,1211.0,1539580253
gen7nu-820514419,[Gen 7] NU,1225.0,1539580771
gen7nu-820515196,[Gen 7] NU,1059.0,1539580974
gen7nu-820515705,[Gen 7] NU,1391.0,1539581290
gen7nu-820517660,[Gen 7] NU,1375.0,1539581748
gen7nu-820519591,[Gen 7] NU,1210.0,1539582189
gen7nu-820521500,[Gen 7] NU,1336.0,1539582389
gen7nu-820534170,[Gen 7] NU,1148.0,1539586688
gen7nu-820540759,[Gen 7] NU,1002.0,1539588841
